# ts src_ip dst_ip proto flags src_port dst_port
1773426883.245872 10.0.0.29 192.168.1.20 TCP A 2663 80
1773426883.270872 10.0.0.71 192.168.1.20 TCP A 17073 80
1773426883.295872 10.0.0.58 192.168.1.20 TCP A 10168 80
1773426883.320872 10.0.0.27 192.168.1.20 TCP A 45372 80
1773426883.345872 10.0.0.140 192.168.1.20 TCP A 6721 80
1773426883.370872 10.0.0.109 192.168.1.20 TCP A 3106 80
1773426883.395873 10.0.0.8 192.168.1.20 TCP A 7164 80
1773426883.420873 10.0.0.56 192.168.1.20 TCP A 16271 80
1773426883.445873 10.0.0.130 192.168.1.20 TCP A 40477 80
1773426883.470873 10.0.0.7 192.168.1.20 TCP A 37805 80
1773426883.495873 10.0.0.51 192.168.1.20 TCP A 47949 80
1773426883.520873 10.0.0.140 192.168.1.20 TCP A 28517 80
1773426883.545873 10.0.0.57 192.168.1.20 TCP A 30463 80
1773426883.570873 10.0.0.72 192.168.1.20 TCP A 54070 80
1773426883.595873 10.0.0.2 192.168.1.20 TCP A 50753 80
1773426883.620873 10.0.0.41 192.168.1.20 TCP A 46777 80
1773426883.645874 10.0.0.109 192.168.1.20 TCP A 23322 80
1773426883.670874 10.0.0.72 192.168.1.20 TCP A 11213 80
1773426883.695874 10.0.0.56 192.168.1.20 TCP A 63755 80
1773426883.720874 10.0.0.87 192.168.1.20 TCP A 7722 80
1773426883.745874 10.0.0.24 192.168.1.20 TCP A 25922 80
1773426883.770874 10.0.0.25 192.168.1.20 TCP A 24550 80
1773426883.795874 10.0.0.89 192.168.1.20 TCP A 40589 80
1773426883.820874 10.0.0.68 192.168.1.20 TCP A 53919 80
1773426883.845874 10.0.0.12 192.168.1.20 TCP A 48847 80
1773426883.870874 10.0.0.118 192.168.1.20 TCP A 36166 80
1773426883.895875 10.0.0.32 192.168.1.20 TCP A 64798 80
1773426883.920875 10.0.0.97 192.168.1.20 TCP A 6188 80
1773426883.945875 10.0.0.142 192.168.1.20 TCP A 20237 80
1773426883.970875 10.0.0.93 192.168.1.20 TCP A 38861 80
1773426883.995875 10.0.0.50 192.168.1.20 TCP A 47198 80
1773426884.020875 10.0.0.18 192.168.1.20 TCP A 4027 80
1773426884.045875 10.0.0.59 192.168.1.20 TCP A 51687 80
1773426884.070875 10.0.0.75 192.168.1.20 TCP A 6253 80
